내용,판단 결과,추천수
악마같은 놈들… 무기징역 제발 받아라,0,4
판사님 존경합니다!!!,1,1
형량줄이지말고 쭉 가자,0,295
사형이 좋을텐데 영원히 격리되도 세금이 아깝네 무징이라도 끝까지 판결해라,0,68
판사가 또 풀어주겠지...끝까지 지켜본다!!!,0,2
판새님은 가해자의 인권이 중요하다고 낮은형량 판결할듯하다. AI판사의 도입이 시급하다.,0,2
최종판결 아니고 실제 형량은 검찰구형보다 1/3 1/2 정도 나옵니다. 즉15~ 20년정도로 나올듯,1,31
변호인이 피고인의 사죄와 반성을 강조하면서 형량줄이기를 하는게 아니라 아예 죄를 부인하고 있네 어쩌면 저 두명한테는 변호인이 엑스맨이 될수도 있겠음,0,15
점점 형량이 줄어들겠지... 사형이어야지~!!! 이런것들을 사람이라고?!!!,0,18
"형량절대 줄이면 안되요ㆍ 저딴것들이 출소하게되면 바뀌지도 않겠지만, 더큰 피해를 볼사람이 생겨날껍니다 무기징역 끝까지 가자",0,5
조주빈과 똑같은 형량 부탁드립니다,0,7
웬 무기징역. 사형제도 부활하라,0,112
구형:검사가 바라는 형 이제 게임이 시작되는거임 판사의 선고가 끝임. 항소는 별개고.,1,0
사형감이지만 무기징역도다행이다싶다;;하도 범죄자를 보호하는법이라 증거불충분이나 몇년밖에 안나올까바 걱정했는데;;이게이상한꼬라지지!!에휴,0,22
피고인들은 범행을 안했다고 하는데 무기징역 이라니 ? 확실한 증거재판이 필요하다,1,0
저런 인간 같지도 않은 것들을 변호해야 하는 변호사도 참 불쌍하다... 무기징역이 나와야지 그래야 고인의 억울한 한이라도 풀어지겠지 어휴..,0,0
어떤 판결이 나올지 끝까지 지켜봅시다.,0,1
무기징역은 나올수있다 사형해야 못나온다 사형해야함,0,75
진짜로 이 사악한 세상에 자식을 낳는것은 어리석다 인과응보라 눈에는 눈 귀에는 귀지 웬 무기징역이고 법은 똑 같이 보복해도 부모 형제의 마음의 상처는 어찌할까? 법이 이리도 자상하시니 악범이 계속되고 있다.법의 목적인 정의를 실현하라.!,0,1
판결이 나야지.. 판사가 피해자 친척이나 지인이면 좋겠다.,0,3
이게 정의지 앞으로도 이정도 형량 부탁드립니다,1,7
무기징역은 기간이 정해지지않은 징역을 말하는거다 곧 살아서 출소한다는 말이다 영구감금을 하려면 사형을 구형해야 맞는거다 제발 사형제도 부활시켜라,0,4
판사님 이은혜 조현수 악독한 두사람 검사의 구형되로 무기징형 선고 해주십시요,1,56
무기징역? 왜 우리세금으로 저런 쓰레기들을 먹여주고 재워주고 씻겨줘야 하는건데? 누구 맘대로!!!!!! 사형집행 부활시켜라 사형집행부활시켜라,0,1
구형한만큼 제발 판결도 났으면 좋겟네,1,3
사형을 하지 무기징역은 안되지 아예 사회에 못나오게해야지,0,2
사형이 되는게 백번맞지만 무기징역으로 살면서 죽을때까지 자유를 갈망하며 괴로워하는게 더 가혹하지 악마같은것들,0,0
유가족과고인이 조금이나마 위로가되셨으면하네영 사형을 간절히바랬지만 무기징역이라도 위로가되네영 유가족분들 힘내세영,1,1
구형입니다 판결아닙니다.. 증거 빼박인데 대체 뭘 조사를하고 미루는건지???? 평생 감옥에서 썩도록 해야될거같은데 제발 사회에서 볼일없길바랍니다,0,0
사형부활 시킬수 없다면 삼청교육대 부활시키자!!! 무기징역이라면 저것들 쳐넣어서 평생동안 인간이하 취급이나 받게해서 병신으로 만들어 버려야 한다!!!,0,1
최종판결이 어떻게나올지 진짜궁굼삽니다.. 용서할수없는 죄입니다,0,0
판사야 온 국민이 이사건 결과 지켜보고있다 제대로 꼭 판결해라,0,0
검찰 구형이 무기징역인데 항상 판사가 뒤집어 버리지 뒤집어서 10~20년형으로 낮추잖아 일본은 검사가 구형한거 99.9프로를 판사가 들어주더라,0,17
아직 구형이니..... 제발 1년이라 감형하지 말고 무기징역으로 가자..판사님 제발 무기징역으로 판결 부탁드립니다,1,1
무기라니 최소3사람 죽인거 같은데 사형해야지 무기면 감형 되잖아,0,25
제발 형량 줄이지말자!!,0,2
그래도 가진거 없는 사람에겐 제대로 판결 할 줄 아네요. 이제 돈 권력 있는 사람도 제대로 처벌 받길..,0,0
이런것들은 무기징역두 아깝다 처형해야 마땅 하듯 싶다 무기징역 살다 모범수로 풀려나옴 또다른 피해자가 생길까 두렵다,0,0
꼭 무기 징역 되길 바랍니다.,1,0
요것들은 절대 형량낮춰주지말아야 죄질이 사악 그랗게나 착한사람을 눈도 제대로 못 감앗을 듯 살모사같은 n,0,14
모든 범죄자가 무기징역이여야 하는데 이보다 더한 범죄가 많은데 왜 그것들은 다 구형도 적냐 퍽퍽한 현실이네,0,1
아 구형 한거임??? 구형 이란 말은 판결이 아님 아주 ㅈ 같은 단어임 대다수 가 햇갈려함 구형 대신 그냥 신청이라고 해라 진짜 아직 판결 안나옴 무기징역 판결해라,0,6
무기징역이 뭐야? 사형시켜도 속이 시원찮을판에.....,0,11
사형을 집행안한다고해도 사형판결을 받어야 나중에라도 사회에 나오는일이 없지않나.. 무기징역 받을지도 몰겠지만 받는다쳐도 20년지나면 가석방 가능성도 있는거고.. 그나저나 판사들이 워낙 이상한 사람이 많아서..,0,0
무기징역은 안됩니다.사형을 어차피 집행하지않더라도 사형을 내려야합니다.사형수는 잠자는 순간까지도 수갑을 풀지않는다고들었습니다.무기징역처럼 단순히 갇혀서지내는것보다는 족쇄라도 달고있게해주세요,0,0
검찰구형은 실제 재판에서 감형되는 경우가 많다요.. 그렇게 되지를않기를..,1,0
무기징역 받아도 속이 시원하지않네 나쁜사람들,1,0
하루에 한끼만 주는 무기징역 그런걸 만들어야한다..또는 겨울에 내복 안주는 무기징역 이런게 필요하다..,0,3
사형제도가있었으면좋았을텐데...암튼 가석방없는 무기징역으로꼭꼭처벌받아야한다,0,0
검사가 구형한거지 판결은 아니네요 판사는 무기징역 선고해야합니다,0,0
왜 판사가 구속 영장을 기각 했는지 도저히 이해가 안감.,1,0
무기징역도 아깝네요~!!ᆢᆢ ᆢ이은혜의딸~~ᆢㆍ이~업보를 평생어찌 지고갈까요ㅠㅠᆢᆢ저런 ~악마같은애들은 새끼도못나게 해야되요~ᆢ자식이 먼죄가있나요~ㅠㅠ,0,0
사형→무기징역→징역20년 첫구형이 무기 징역이니 항소까지 가면 징역20년으로 끝날가능성이 큰데....아쉽다 저런것들은 최하 사형부터 시작해야 무기로 끝날텐데 아쉬워....,0,1
감형 소식이 없기를...,0,2
"저런 사람들 변호 하면서 재판장에서 변론 하는 변호사들이 난 더 이해가 안간다,,,정말 구조에 할 일을 다했다고 생각하냐?",0,0
아무리 변호사라지만 너무 괴변이다 다 죽은거 알고 튜브 던진게 구조활동이냐 제발 판결도 잘 나오길 바랍니다 천하의 몹쓸,0,0
사형보단 무기징역이 더 힘들거다.. 죽어야 교도소에서 나오니.. 절대 가석방 하지 말어라 .,0,0
"검사도 그렇고 판사도 그렇고 자기 손에 피 안 묻힐려고 충분히 사형 구형할 사건인데 무기 구형하고 검사가 큰 마음 먹고 사형 구형했는데 판사는 무기 선고 해버리고 그럴 려면 검사,판사 하지 마라",0,0
판사가확정판결을내릴거라믿겠습니다,1,0
무기징역도 가볍다 즉시 사형시켜라,0,2
뭐야~~그냥 구형이네 어차피 대법원까지 가면 몇년 안 받을꺼임 판사들이 범죄자들을 얼마나 사랑하는데 무기징역을 주겠어,0,0
기소한 검사가 능력이 얼마나 있느냐에 달렸군,0,1
"무기징역이면 얼마든지 감형받아서 가석방이 가능하다. 돈 을 목적으로 사람을 죽였는데 감형받을 가능성있는 무기징역이라니,,",0,1
징역 밥이아깝다 국민들 세금인디ㅠㅠ,1,0
판사님 사형선고 내려주세요 영영 못나오게 당신의 넝력을 보여주세요,0,0
무기징역이라니 사형시켜야지 평생나랏밥을 먹는것도 아깝다,0,0
검사 어느분이세요? 멋지네요 무기징역... 검사를 존경하기는 처음입니다,1,1
에이 선고가 아니라 구형이네 제발 감형 절대 없는 무기징역 때려라,0,1
판사가 제발 검찰 구형대로 판결해라 초범이니 반성(?)하고 있다느니 되도 않는 이유로 형량 낮추지 마라,0,0
판사가 저들을 좋아하기 때문에 10년일꺼야~ 변호사들아~ 돈보단 인간이 먼저되라~,0,0
진짜~~나올수도 없게~~무기징역이 아닌 형량100년으로 우리도 바꾸자~~!!인간도 아니것둘~!!,0,0
마지막 판결까지 무기징역 해야 됩니다.,1,0
판사질 하는 놈들이 판결을 어찌할지 궁금하군 판사질 하는 놈들이 사형판결 해야 될낀데~~,0,0
법원은 무기징역이면 무기징역으로 꼭 지켜라..적당히 살다 내보내지 말고,1,0
진짜 무조건 무기징역 끝까지가자,0,1
사형이면 더 좋겠지만..가석방없는 무기징역이라면 덜 화날듯 합니다. 밥값도 아까운 폐기물들.,0,0
대법원 판결이 아니구만 뭐야… 대법원에서 무기징역 때려야 이 나라가 아직 살만한 나라구나하지,0,0
무기징역은 가볍다!무조건 사형으로 가자!그리고 꼭 사형을 집행하자!,0,0
에구. 선고가 아닌 구형. 구형 해봐야 알지. 구형해봤자 항소 할것이고. 저런것들은 항소하면 형량 2배로 선고해라.,0,0
사형제도 사라지니깐 무기징역이구나 그냥 없어도 되는 애들인데,0,1
무기징역이 말이 되냐! 수장! 시켜야 된다.,0,0
사형이 아니네.....판결을 기다려 봐야지...죄없는 사람 죽인 살인마들을...왜 살려주지?,0,0
무기징역이라도 가석방없는 무기징역이었으면 한다.,0,0
제발 최종판결로 내려주세요,0,0
싸다 싸! 무기징역? 죽어도 아니 사형시켜도 절대 부족히지 않을 폐기물들이 시대를 잘 만나 숨 쉬고 산다니!,0,0
사형도 아니고 무기징역? 이거 나중에 모범수 되면 감형될 수도 있는거 아닌가? 썅 그냥 사형 구형을 해야지....,1,0
"지금까지 반성한적 단 한번도 없고 거짓해명 고인모욕만 했지만, 아마 판결날때쯤 반성하고있고 아이부양등을 이유로 형량 어마어마하게 깍을거라 예상된다.",0,0
판사 선고가 어떻게 나오냐가 문제지. 판사가 되는냐 판새가 되느냐,0,0
무기징역 구형이면 선고는 저거보다 낮을 가능성이 크네요 ㅠ,1,0
무기징역 그럼25~30 년 이면 출소네ㅠㅠ 이게 무거운 처벌인가?? 궁금해집니다,0,0
판사도 신상공개 하고 재판해라,1,0
무기징역은 식대가 세금이니 사형이 답이다~ 유가족의 속이 후련하게 사형시키라~!!!,0,0
국민이 관심을 가져야만 무기징역이 나오니....,0,0
무기징역약하다 무기징역은 모범수로 살면 언젠가 나온다 사형 선고를받아야지 가석방 자체가없다 사형 을선고햇어야 됬다,0,0
계곡이라 주변에 보는눈이 있으니 구조하는척은 했겠지... 자기들이 판검사보다 똑똑하다고 착각하는건가? 어자피 다 들어날 거 납작엎드려 죄송하다고 비는게 차라리 낫지 싶은데,0,0
말이 무기징역이지 10년 살고 나오는 경우 많다던데...이 사람들이 10년만 살고 나오면 너무 분노할 듯~~!,0,0
바보같이 살해당하면 살해한자는 사형이 아니라 무기징역 내려 준다~~~ 고맙지~~,0,0
구형은 뭐~ 사형까지 할수있지 ㅋㅋ 문제는 판사 와 변호사가 누구인지가 중요하지 ㅋㅋ 두고봅시다 판사의 판결을~~,0,0
무기징역도 아깝다 강제노동 시켜라,0,0
"뉴스 제목만 보고,무기판결인줄.. 구형이 무기징역이구나.. 최종판결이 어찌날찌..",1,1
판결했다는거아니고 걍 검사가 주장한게 그거라는거다,0,0
사형을 때려야지 무기징역은 모범수의 여지가 있느데,0,0
구형은 아무 의미 없다. 판결이 진짜지.,0,0
가석방 옶는 무기징역 되기를 바라며 기도합니다 ️,1,0
무기징역 재판부에 요청했지만 재판에서는 과연 어떻게 나올까,1,0
구형???선고가 아니고??? 그럼 선고땐 감형 되겠내요 악마같은 두인간 영원히 무기징역 을 선고 해아되는데...,0,0
"전제를 하나 꼭 달아주세요. 최소한 절대... 절대로 가석방 없는 무기징역을...!!! 그것도 힘들다면 법정 최고형이라고 말하는 가석방없는 30년이라도 꼭 확정 선고되도록 해주세요!! 고의로 살해를 했으면 반드시 사형을 선고, 집행당해야 정당하다고 생각하지만, 불가능하다면 적어도 모범수 어쩌구 저쩌구..하면서 가석방 가능한 무기징역은 절대 않됩니다!!! 남은 생을 감옥에서 마감하게 되길 바랍니다. 가석방으로 나오면 또 누군가에게 .. 그때는 중,장년층 누군가를 또 비슷한 방식으로 살해를 하고도 남을 인간들이기 때문입니다.",0,0
무기형이 뭐냐 무기형이 종신형을 때려야지 우리나라는 가해자의 천국..판사새끼들이 대대적으로 공격을 받아서 인신상이나 가족에게 피해를 입혀야지 제대로된 판결이 나올거야...,0,0
검찰분들은 무기 때려도 범죄자들한테 착한 판사님들은 대법원에서 끽해야 15년 때릴듯 외국가서 살해하려고 한거. 낚시터에서 살해하려고 민거. 복어독으로 할해하려고 한거 이런혐의를 보고도 저런 인간같지도 않는것들을 변호해주는 변호사가 궁금하다~,0,0
판사가 무기징역 주겠어? 검찰선고는 아무 의미없잖아요? 대한민국 판사중에 제대로 정신박힌사람 있을지... 기대안함!,0,0
판사의 비호를 받아 댓글다는 사람을 범죄자로 만들어버리는 자들이다. 구형이고 나발이고 판사가 집유 때릴게 분명하다.,0,0
무기징역은 종신형이 아닙니다 언젠가는 밖으로 나옵니다,1,0
"무기징역이라니 ,사형시켜!!!",0,0
무기징역 참참 좋은 판결,1,0
무기징역이라니 점마들 먹여살리는 세금내는 국민들은 무슨죄,0,0
사형이지 뭔 무기징역??? 참 자비롭다,0,0
사형이 나와야 되지 않나요? 사형제도 없어 무기징역되겠지만,0,0
판사가 끽해야 10몇년 주겠지 또 ㅋㅋ 인간쓰레기중 극 쓰레기들 또 사회 나오게 해주겠지 뭐 ㅋㅋ 지긋지긋 하니까 검찰 구형은 뉴스 내보내지마요 그냥 어짜피 저거보다 훨씬 축소되서 판결받을텐데,0,0
"검찰이 이렇게 해주세요 구형: 법원이 응 아니야 죄없어 땅땅땅 판결 다름 , 법원이 무기징역 꼭 떄려주길",1,0
무기징역받고 나중에 교도소로 이송가면 둘이서 서신으로 담장넘어서 못다한 사랑 그안에서 다 이루시길 바납니다 할아버지가 된 남자가 할머니가 된 이은해를 쳐다봐줄까...,0,0
판결 무기징역 뜨면 죽어서야 교도소 나올수있는거면 멘탈 터지겠다,0,0
무기징역인데도 속이 안시운하네.,0,0
이거 판결 확정은 언제인가요? 얼마나 더 기다려야 하나요,1,0
검찰이 무기징역 구형이면 판사들은 끽해야 20년 조금 넘기겠네... 검찰 구형대로 판결내리는 판사는 왠만하면 없으니까,1,0
무기징역할 줄 알면서 왜 다른 것들은 안하는걸까?,0,0
에고.. 사형을 구형해야 무기징역이라도 나오지... 무기징역을 구형하면 십중팔구는 15~20년 최악으로 무죄가 나올수도... 어쩌면 보험회사가 껴있어서 판사가 좀 잘처리해주려나...?,0,0
무기징역도아깝다 콩밥도아깝고 사형이 정답,1,0
어차피 판사도 이미 결정은 했을거고 절차가 있으니깐 재판 진행중인거지,0,0
무기가 아니라 종신형 이어야지 무기징역은 형의 기한이 없는 거니 바꿔 해석하면 언제든 나올수도 있다는 뜻,1,0
끝까지가라 징역줄이지말고,0,0
오랜만에판사다운판사보네 사형이없어진게아쉽지만...,1,1
사형시켜야 본전 뽑는데. 저정도면 감형되도 유기징역 20년 남짓 나올까 싶다. 나머지 구형은 기각될것 같고.,0,0
감형없는 무기징역이 아니면 의미 없다 감형돼서 50이나 60세 전에 풀려날수 있다,0,0
무기에서 판사가 사형으로 판결 내리시길.(판사 마음이라며?그럼 할수있다),1,0
무기징혁 구형이 판결도 아닌데 대문짝으로 내네..,0,1
판결도 무기징역 받길..+가석방 없는,0,0
한국에 정상적인 판사도 있구나,0,0
판사한테 확신을 줬나보내 ..,0,0
무기징역.. 요즘 교도소는 장기복역수에게 혜택도 줄만큼 인권을 많이 쳐준다는데 하 평생 독방에서 편안하게 의식주 공짜로 살거생각하니까 열받긴하네,0,0
"무기징역 너무 약하다 한3백년정도 줘야지 대한민국은 사람죽여도 9,10,12년 너무 약해요",0,0
얘네 도주안하고 신상뜨기전에 잡혀서 조사받았으면 이렇게 화제거리안됏을듯 그럼 형량도 달라졋겟지 멍청한것들 ㅉㅉ,0,0
무기징역하면 가석방 될 수 있잖아. 사형구형해야지.,1,0
마땅한 처벌이지만 얘네 언론에서 이렇게 안때렸어도 무기징역이었을까?,0,0
"무기징역 도,아쉽네요,사형이,마땅한 데",1,0
훈훈한소식입니다 감형없이 무기징역 쭉가즈아 그동안남의돈으로 여행도많이다니고 인생즐겼으니 이젠남은인생은 감옥에서 지옥으로,0,0
무기징역 구형말고 사형으로 집행가즈아,0,0
검사의 구형은 무기네 판결은 어떨지 궁금하네,0,0
과연 판사의 선택은???,1,1
구형?언제 판결나는데요?어느 판사가 변호사 전관예우 싸바싸바하면서 판결 개같이 나오나 두고봅시다.,0,0
형량 적네요 그냥 법정최고형인 사형을 구형하는게 맞는데,1,0
이자들은 다시나온다 우리나라도 감형없는 무기징역이필요함,1,0
사형도 아니고 무기징역????????,0,0
무기징역 나이스 !! 이제야 법이 법같네,0,0
스토킹 살인범도 무기징역해주세요!!!!!,0,1
아마도 재판부는 형량이 내려갈것이 분명하다..내가 지켜보리라 재판부가 곪았는지를....,1,0
그래 판사야 이거지,1,0
언제부터 보험금노린 범죄가 무기징역이 됐지??,0,0
사실 둘다 무기징역 때리는거보다는 한명은 무기 한명은 유기로 때려서 서로 그동안 말 안 한 거 다 폭로하고 배신하게끔 만드는 것도 좋을 거 같은데 ㅋㅋㅋㅋ,0,0
검사는 증거로 말하는거지 설마 심정만으로 했다가 무죄나오면 검사 옷벗어라,1,0
아무 의미 없는 구형 판사는 그렇게 생각 안할껄,1,0
검찰 무기징역 구형이면 재판에서는 30년이상 or 무기징역 나올듯.. 살인죄에 언론에 너무 노출되서 본보기로 무기징역 나올거같은데 세금이 아깝네 사형시켜야지,0,0
무기징역. 그래도 걱정이다. 두인간 먹여살려야하니 세금.돈들어가잖어.ㅠ,0,0
가석방없는 무기징역도 과분하다 생각핮니다,0,0
무기 해봐야 명절 광복절 크리스마스에 감형되고 모범수로 둔갑하면 많이살아도 30년 살겠네 거기에 특사 끼면 더 빨리 나올수도 이게 형벌이냐?,0,0
구형이면 아직 판결 확정된 거 아님.,1,0
무기징역줄빠에 징역100년을주지,1,2
얘들이 왜 무기징역임?? 부정하는건 아닌데 이들보다 더한 범죄자들도 무기징역 없었는데 여론이 한몫했네 아동성범죄가 이들이 저지른 범죄보다 약하다는건가 ㅡㅡ 그지같은 법,0,0
징역100년 때려야지 저지랄하면 15년이면 또나오지,0,0
"도주 안했다면, 아마 유기징역 나왔을 듯",1,1
판사님 부탁드립니다,1,0
아직도 판결중이고ㅡㅡ 판결하다 세월 다가것다,0,0
은혜는 사형이고 공범이 무기징역이지,0,0
검사는 사형이 아니구 왜 무기 징력 구형 한거지~?무기는 언젠가는 나오는데~하긴 항소 하겠지만~,0,0
어차피 판사는 많이 줘봐야 10~20년 준다,0,0
무기징역수들은 밥도 바퀴벌레만 잡아다 쪄줘라,0,0
ㅣ 무기징역 반드시 지켜야. 45년후 가석방하든지. 징글징글한 인간들이다. ㅉ ㅣ,0,0
"아니 저런놈은 무기 징역인데 .,.. 아동 성범죄는?????",0,0
당연히 무기징역 가야지,1,0
구형한 그대로 판결나오는 경우 거의 없음…ㅆ,0,0
무기징역은나올수도있는데 사형이답,0,0
잘했네 무기징역 근데 무기징역을 독방으론안되나? 절대 사면없다 풀어주면안되,1,0
무기징역형도 어느정도 지나면 풀려나던데,1,0
구형은 의미 없음 확정 판결이 나와야지,0,0
무기징역이면 20년정도 살다가 나올텐데 ㅠㅠ,1,0
20년이상 가석방 대상 (현제 우리 나라 악법) 25년뒤 기어 나오겟지 . 판결시 감형되거나 구형이니,0,0
내 무기 징역 사형 등등 그래야 이런 범죄업어져요 만세만세 만세,1,0
그래 사형보다 무기징역이 낫지 죽을때까지 국가를 위해 헌신해라 빨리죽지말고 제발 감형없이 죽기전까지 국가를 위해 헌신해라 노역도 빡시게하고,0,0
어차피 검사는 무기징역을 때려도 판사가 이것저것 핑계 되면서 풀어줌,0,0
구형된것뿐. 판사의 판결은?,1,0
무기징역인데 왜 화가나지....모범수로 기어나올수도 있다는거 아냐?,1,0
이건 맞쥐 판사야 왠일로 잘햇구나,0,0
판결도 아니구먼 재판부가 또 갂아줄걸요,0,0
"남편한테는 안타깝지만 이건 한사람한테 한 짓이고, 600억 사기친 우리은행 직원은 13년 판결받고 ㅋㅋㅋㅋㅋㅋ 멍청한 애들만 사람 납치해가지고 고문하죠. 그냥 돈 가지고 장난질치면서 횡령하면 100년은 거뜬하게 놀고 먹는데 그에 반해서 형량은 개가벼운데 말이지.",0,0
무기징역 구형일 뿐이지 확정이 무기징역은 아니잖아. 아마 정인이 사건때 처럼 감형 될듯....,0,0
구형하면뭐하나 유기징역이나 때리것지,0,2
무기징역이면 30년 나오는거 아닌가요;;;,1,0
앞에 추가로 붙여야지 가석방없는 무기징역,0,0
근데 구형일 뿐... 선고도 무기징역 기대합니다,1,0
보험회사가 대기업이니 보험사기에 무기징역까지 가네.,0,0
무기징역;;; 또빨리나오겠네 이후 ... 그냥 최고형 30년형때려 무기때리지말고 에후 ....,0,0
무기징역은 너무하네,1,0
"법알못이라 그러는데, 무기징역 때렸는데 5년간 보호감찰, 20년간 위치추적 전자발찌 이런게 의미있나요?? 감옥에서 영원히 살텐데?? 몇년안에 나올수 있다는건가요 그럼?",0,0
이제 판새가 어케 판결할지가 궁금해진다. 10년때리겠지 ㅋㅋㅋㅋㅋ,1,0
근데 증거 없는데 어케 무기징역임 증거 있는 살인마들은 왜 솜 방망이처벌 ..?,1,0
소용없는짓 범죄자를 지키는 나라에서 무신 무기징역이노 형량 감형 안되면 다행이지,0,0
앞에 가석방이 빠졌네. 가석방없는 무기징역이 맞는거 같은데 저런것들 쉽게 안죽는다.,0,0
무기징역은 추후 이른 출소가 가능한 형벌입니다 평균 무기징역수가 출소하는 시점은 10-15년 후쯤될듯합니다 물론 오차는있구요 저러니 사람 쉽게 죽이는 세상임... 안걸리면 땡큐고 걸려도 길어야 20년안에 사회복귀인데...사람하나 죽이는 댓가로 나름 괜찮은 딜일수도있으니...ㅉㅉ,0,0
그냥 무기징역이면 나중에 모범수로 나올수도 있는거 아님??,1,0
무기징역 받고 5년쯤살다가 괴롭거든 그만 하늘로가거래이~~,0,0
변호하는 변호사도 무기징역 받앗음 좋것다 저런새끼들 변호하고싶을까 아무리 돈이좋아도,0,0
구형이잖아 난 또 선고때렸다고 사형을 구형해야 무기징역 선고 할텐데,1,0
무기징역 도 모자라 너희 둘은 감옥않 에서서도 편하면 안되 절대로 . 절대로 ~,0,0
거봐 뉴스에선 최고형 사형이라고 해도 무기 징역이야.,1,0
"이은해 사형, 조현수 무기징역으로 바꿔라.",0,0
판사가 90%정상이네,0,0
감형이 없어야함 교도소에서 죽을때 까지,0,0
검사 구형이네 ㅋㅋ 판결은 10년이상 20년미만 나올듯,0,1
무기징역 구형해도 발찌랑 다른거 말한거 보니까 무기징역까진 안가겠다 라는 생각으로 무기 징역 줬나보네. 한 징역40년 30년 이리 나올듯,1,0
흠 판결이 궁금하네,1,0
무기징역이면 나올수 있습니까?,1,0
가석방 없는 무기징역!,0,0
사형 구형 받으면 안에서 놀고 먹고뿐이 안하니... 차라리 무기징역이 나음,0,0
무기징역이라해봤자 15년 아니냐?,1,1
근데 생각해보면 사형보다 무기징역이 더 고통아님? ㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
얘넨 무기징역인데 신당역 살인범은 과연 얘네만큼 형량이 나올까?,0,0
무기징역인데 5년간 보호관찰? 20년간 위치추적?? 그러면 몇년살다가 815로 나올수 있단말인데 이왕 무기징역 하는것 가석방없는 무기징역하지 ......,0,0
가석방 없는 무기징역으로..,0,0
징역동안 무기로 좋나 처맞는 무기징역,0,0
가석방없는 무기징역으로 가야지,0,0
구형 말고 판결은 언제남,0,0
한국 k판사들 여자 범죄자한테 특히 약한데 ㅋㅋㅋㅋㅋ 징역 몇년 살다가 석방해줄듯 ㅉㅉㅉㅉㅉㅉ,0,1
무기징역 + 독방 !,1,0
북한으로 추방해뿌라 무슨 무기 징역이야,0,0
판사는 뭐..기껏 15년 때리겠지...기대들 하지 말아요.. 15년도 아주 후하게 쳐준거야..90% 이상확률로 판사가 솜사탕 법에 의거 15년 미만때릴거 같은대..,0,0
판결은. 증거로하는것,0,0
지랄앰뱅까지말고 유기징역최고로30년 때려라차라니 무기징역 기준아는사람없어요.. 쓸데없이 중간에 내보내지마시고 최고형주세요 무조건!!!,0,0
어허 둘다 무기 징역이라 있다보면 적응 하것다,0,0
무기징역 받고 5년만에 모범수로 나오는 거 아냐?,1,0
우영우 투입해서 이은해는 석방.......공범은 무기징역 때려야지....,1,0
최종판결은 15~20년 나오겠네,0,0
제목에는 무기징역 내용에는 무기징역 구형? 장냐하냐?,1,0
판사가 10년때린다,1,0
무기징역은 옥사..,1,0
윤석열 하고 무당의힘 애들 도 무기징역 내려라,0,0
무기징역 좋다!! 근대 밦값도아깝다,1,0
어차피 항소해서 또 형량 낮춘다. 몇천만번 봐서 이제 난 모르겠당,1,0
이놈들은 무기징역 조두순은 12년,0,0
판사는 ? 1년때리려나,1,0
무한 무기징역,1,0
"무기징역 ""구형""으로 제목 바꾸셔요",1,0
무기징역 나이샤 쩌럿으,0,0
이거 구형임 님들아 ㅋㅋㅋㅋㅋ 판결 아님 정의로운 판새가 감형시켜줌,0,0
마음에 안드네 사형이 아니라...그래도 무기징역이라 조금은 낫네,0,0
가석방없는 무기징역,0,0
헤드카피나 썸네일좀 이따구로 쓰지마라 기본도 안되서 기자 선배들이 안가르쳐주더냐? 선고도 안된걸 구형 됐다고 무기징역이라고 끝맺음 하는게 요즘 기자 수준이냐?,0,0
검찰 무기 판사 15년선고,1,0
무기징역?사형아닌가? 사람을죽였는데,0,0
이은해 사형 조현수 무기징역이 맞지,0,0
말이 무기징역이지 가석방해쥬자너,0,0
판사 처음으로 일잘하네 이런자를 대법관후보지 오석준이 머임,0,0
생긴게 무기징역 이네..축하한다.,0,0
무기징역인데 전자발찌는 또 뭐여...??,0,0
마지막엔 형량 낮춰주겠지 뭐.. 뻔한 스토리지뭐,0,0
무기징역이면 늙어서나오겠네 특사로,0,0
한국에서 무기징역말고 북한노동교화소로 보내는걸로 범죄자 인도조약을 맺자! - 범죄율 반이상 줄어든다에 손목을 건다:ㅇ,0,0
무기징역인데 왜 전자발찌 필욯해?,0,0
무기징역 마땅하나 이게 무기징역이면 조두순은 어떻게 된거냐?? 이것도 다 정치쇼다,0,0
한국은 가석방 없는 무기징역은 없나???,0,0
내일 핵전쟁이 난다면 무기징역 선고 받아도 ㅋㅋㅋ,1,0
그나이에 무기징역 축하하네,1,0
김병찬이 40년인데 얘들은 무기징역ㅋ 여자목숨 남자목숨 한국에선 다르게 취급하나봄ㅋ,0,0
못미더운 k판사들...,0,0
무기징역? ㅋㅋ. 크리스마스도 있고 광복절도있고. 4년마다 대통령선거도있고 ㅋㅋ 그러면서. 웃으면서 감옥생활하겠지?,0,0
무기징역이라니 말도 안된다 명백한 증거를 제시해라!! 이건 법과 평등성에 위배된 마녀사냥이다!!!!,1,0
무기징역 감형없이 그대로 선고 해주시길 판사님께 부탁드려요,1,1천
다시는 이런 흉악한 범죄가 절대 일어나지않도록 무기징역을 꼭 내려주세요,0,54
검사님까지는 훌륭했다 판사님까지 훌륭한 판단잘하길바란다 제발..,1,416
현명한 판사님의 최종판결을 기대합니다. 죄값에 합당한 극형이기를 바랍니다. 공개처형의 첫 사례가 된다면 대한민국은 희망의 땅으로 거듭나겠지요.,1,716
판사니 제발 합당한 벌을 주셔야 해요 그래야 돌아가신 분도 편히 눈을 감을 거에요,0,68
