내용,라벨,추천수
20년 후에 서람들의 기억에서 잊혀지고 가석방되는건 아닌지.. 가석방 없는 무기징역이면 좋겠어요.,0,0
옛날 옛적에는 세상에서 제일 무서운게 호랑이였다 우는 아이도 호랑이가 온다하면 울음을 뚝 그쳐는데 지금은 정치검사들에 삐투러진 권력이 옛날 호랑이가 보다 더 무섭다 약간 덜 무서운게 돈 맛나간 인간들 그래도 세상은 돌고 돌아 아름답고 멋있는 사람들을 만나면서 요람에서 무덤으로 가는가 하노라,3,0
무기징역이래봐야..... 어짜피 20년 못넘김..... 사형으로 다스렸어야 하는데.... 범죄자인권에 최선인 판사들이......,0,0
제발 모범수 감형 광복절특사 이딴걸로 안풀려났으면 합니다,0,0
어잌쿠 무기징역 30년이면 출소할때쯤 다 늙어서 나오겠네 ㅋㅋㅋㅋ 꽃다운 나이를 빵에서 쳐보내야한다는 소식에 가슴이 웅장해지군요!!!,0,0
사형이지 왜 무기징역 이야..ㅜ,0,0
보나마나 항소할꺼지?ㅋㅋ 2심 3심 쭉쭉 그대로 가보자고~ 판결 개시원하네ㅋㅋ^^,0,2
다시는 기어 나오지 마라... 저거 또 기어나오면 또 다른남자 죽일뜻... 근데 음주운전으로 몇명 죽여도 몇년 이던데...그것들도 무기징역 해야지...,0,1
우리도 미국 처럼 징역 120년 200년 이렇게 하면 좋을텐데 감형없는 무기징역이 되기를....,1,0
내심 적은 형량 나올거라고 걱정했었는데 무기징역 나와서 다행이다,1,0
가석방 없는 무기징역이기를...,0,0
현재 1심이에요 형 확정된거 아닙니다 모든건 대법원까지 가봐야 알아요 저것들 판사한테 반성문 제출하고 참회한다고 똥꼬 쇼 하면 무기에서 유기형으로 감형 될 수도 있어요,0,0
관심끄긴 이르네요 1심이잖아요 끝까지 항소하고 또 반성문써서 감형되는 일 없길,0,0
법이 물렁하다.. 이게 말이되는판결이냐....둘다 형량 500년은 때려야하지않느냐...,0,0
사형을 때려야 감형으로 못나오지,0,0
저런 여자는 무기징역 해야됨 진짜,0,0
현명한 판결인듯..... 그런데..재심을 할듯.......(이은해라는 인간성을 보면..),1,2
분명 인정안하고 대법원까지 가겟지.. 반전없이 무기징역에 30년 확정받자!!!!!,0,0
왜??헌법 있는 사형을 집행을 안하냐?? 사법부가 개판이네...법률이 있으면 선고를 안하냐?? 우리나라 판사들 모두은 겁쟁이냐?? 선고하면 기록에 남을까봐..겁나??? 쯧쯧 한심하네........,0,0
이정도면 됐다 사실 작년같은면 어림도없었을듯 대신 3심까지 유지바란다 감형없는 무기징역,0,2
둘다 똑같은디 왜 형량이 다른고? 악마보다 더ㅡ한 인간들,0,2
국민 정서와는 전혀 다른 판결,0,0
잠시 내돈이 아니것으로 재미 즐긴 댓가로구나 고인을 생각하믄 그 형량도 약하구나 어리석은 인간아 참되게 살아야하는 이유 모르는구나,0,0
사형을 해야지... 무기징역햇다가 감형받고 쳐나온다..,0,0
우리나라도 가석방없는 무기징역 만들자!!!,0,1
참네/ 조두순이나 뺑소니범 음주운전범 성폭행 학교폭력하는 애들은 솜방망이 처벌하면서/ 물에빠진 사람 안구했다고 무기징역.ㅋㅋㅋ 어이없네 법이 참/,0,1
얘네보다 더한 살인범도 ㅈㅂ 무기징역 때려주세요 제발,0,0
이게 정의다 근데 아쉬운점이 이리논란되니깐 형량저리때리는거같기도하고 그래도 저게맞지,1,0
이은해는 연쇄살인범일지도… 어쨌든 좋은 판결입니다.,1,0
무기징역 감형해서 나올생각 마시고 안에서 아깝지만 국민들이 내는 세금으로 평생 먹고 사세요,0,0
가석방없는 무기징역 때려야지,0,1
저 짐승보다 못한것들 형량이 너무낮다,0,0
참 쉽게살려하네 ㅋ 그동안 잘꼬득여 잘먹고 잘살았응게 나머지 인생 음 그래도 살려는주네 판사형님들이 나같음 눈감고 사형때리겠다 분하다,0,0
모든 살인죄는 이번판결 기준으로 가자,1,0
아니 조현수도 무기징역 때려야 하는거 아닌가요? 돈 조현수 계좌로 꼬박꼬박 입금되었고 같이 공모하고 뭐가 다른건지 모르겠네....... 똑같은 놈들인데.... 쩝,0,1
공번들에게는 징역3년에 처한다,0,1
다른 흉악범들은 왜 무기징역 안하냐,0,1
장난하냐ㅡㅡ 사형 무기징역 때려야지,0,0
"캬 좀 평소에도 이렇게 형량쳐때려라 돈없고 백없는 애들만 이러지말고 좀 있다싶은 자제들은 7,3년형이더만",0,0
검찰선고에 앞서 무기징혁 구형 라 자막 있던데 판결이 무기로 나온게 아닌거 같은데 유무죄만 판결나온거 아닌가? 울나라 판사들 감형이 특기인데 반성문쓰면 감형해주잔아,0,0
감형없는 무기징역이기를...버러지ㅡㅡ,0,0
또 항소하겠찌 ㅉㅉㅉ 둘다 무기징역 보내자...,0,0
남자 친구가 검사 였으면 무죄 였겠습니다,0,0
무기면 모범수되고 그러면 감형되서 나온다던데. 이씨 같은 분들은 사회에 나오면 똑같거나 더 진화해서 나온다던데요. 사형 집행이 맞지 않나싶은데....,0,0
미쳤냐? 둘다 무기징역 가야지 ㅉ,0,0
무기징역은 가석방됨 사형을 내렸어야지,0,0
아직 1심밖에 안됐다. 쟤들은 분명 대법까지 질질 끌거임. 그리고 무기징역이라도 20년 지나면 가석방 조건 채워서 나올수도 있음.,0,0
